config,mode,T_kv,B,pipeline,latency_ms,tokens_per_sec
gemma3_4b,decode,2048,1,P0,0.0581,17221.8
gemma3_4b,decode,2048,1,P1,0.2751,3635.1
gemma3_4b,decode,2048,1,P3,0.1613,6198.1
gemma3_4b,decode,2048,1,P5,0.1591,6284.2
gemma3_4b,decode,2048,4,P0,0.1358,29461.2
gemma3_4b,decode,2048,4,P1,0.3775,10594.7
gemma3_4b,decode,2048,4,P3,0.1681,23794.8
gemma3_4b,decode,2048,4,P5,0.1658,24130.4
gemma3_4b,decode,2048,8,P0,0.2341,34169.6
gemma3_4b,decode,2048,8,P1,0.6858,11664.4
gemma3_4b,decode,2048,8,P3,0.169,47329.4
gemma3_4b,decode,2048,8,P5,0.1641,48761.5
gemma3_4b,decode,2048,32,P0,0.8122,39400.7
gemma3_4b,decode,2048,32,P1,2.4943,12829.3
gemma3_4b,decode,2048,32,P3,0.2289,139813.6
gemma3_4b,decode,2048,32,P5,0.2249,142301.9
gemma3_4b,decode,2048,64,P0,1.5943,40142.3
gemma3_4b,decode,2048,64,P1,4.8642,13157.4
gemma3_4b,decode,2048,64,P3,0.4067,157375.6
gemma3_4b,decode,2048,64,P5,0.4107,155815.4
gemma3_4b,decode,4096,1,P0,0.0857,11672.4
gemma3_4b,decode,4096,1,P1,0.2991,3343.0
gemma3_4b,decode,4096,1,P3,0.2905,3441.9
gemma3_4b,decode,4096,1,P5,0.2977,3358.8
gemma3_4b,decode,4096,4,P0,0.2318,17256.5
gemma3_4b,decode,4096,4,P1,0.6799,5883.6
gemma3_4b,decode,4096,4,P3,0.2985,13401.9
gemma3_4b,decode,4096,4,P5,0.2969,13472.5
gemma3_4b,decode,4096,8,P0,0.4212,18993.6
gemma3_4b,decode,4096,8,P1,1.2985,6161.1
gemma3_4b,decode,4096,8,P3,0.3425,23358.5
gemma3_4b,decode,4096,8,P5,0.34,23528.7
gemma3_4b,decode,4096,32,P0,1.5577,20542.9
gemma3_4b,decode,4096,32,P1,4.8292,6626.4
gemma3_4b,decode,4096,32,P3,0.4167,76800.8
gemma3_4b,decode,4096,32,P5,0.4151,77087.6
gemma3_4b,decode,4096,64,P0,3.0734,20824.1
gemma3_4b,decode,4096,64,P1,9.508,6731.2
gemma3_4b,decode,4096,64,P3,0.7674,83394.7
gemma3_4b,decode,4096,64,P5,0.7667,83475.2
gemma3_4b,decode,8192,1,P0,0.1372,7288.7
gemma3_4b,decode,8192,1,P1,0.3772,2651.0
gemma3_4b,decode,8192,1,P3,0.5395,1853.7
gemma3_4b,decode,8192,1,P5,0.5363,1864.5
gemma3_4b,decode,8192,4,P0,0.4257,9395.6
gemma3_4b,decode,8192,4,P1,1.302,3072.2
gemma3_4b,decode,8192,4,P3,0.6465,6187.6
gemma3_4b,decode,8192,4,P5,0.645,6201.9
gemma3_4b,decode,8192,8,P0,0.8051,9936.1
gemma3_4b,decode,8192,8,P1,2.4828,3222.2
gemma3_4b,decode,8192,8,P3,0.6587,12145.6
gemma3_4b,decode,8192,8,P5,0.658,12158.7
gemma3_4b,decode,8192,32,P0,3.0907,10353.8
gemma3_4b,decode,8192,32,P1,9.5314,3357.3
gemma3_4b,decode,8192,32,P3,0.7915,40427.6
gemma3_4b,decode,8192,32,P5,0.7891,40555.0
gemma3_4b,decode,8192,64,P0,6.1466,10412.2
gemma3_4b,decode,8192,64,P1,18.9346,3380.0
gemma3_4b,decode,8192,64,P3,1.4932,42860.9
gemma3_4b,decode,8192,64,P5,1.476,43359.5
gemma3_4b,decode,16384,1,P0,0.2384,4194.3
gemma3_4b,decode,16384,1,P1,0.6896,1450.1
gemma3_4b,decode,16384,1,P3,1.0406,960.9
gemma3_4b,decode,16384,1,P5,1.039,962.5
gemma3_4b,decode,16384,4,P0,0.8175,4892.9
gemma3_4b,decode,16384,4,P1,2.4949,1603.3
gemma3_4b,decode,16384,4,P3,1.2763,3134.1
gemma3_4b,decode,16384,4,P5,1.2767,3133.2
gemma3_4b,decode,16384,8,P0,1.5852,5046.8
gemma3_4b,decode,16384,8,P1,4.8501,1649.5
gemma3_4b,decode,16384,8,P3,1.2757,6271.2
gemma3_4b,decode,16384,8,P5,1.2774,6262.6
gemma3_4b,decode,16384,32,P0,6.1997,5161.6
gemma3_4b,decode,16384,32,P1,18.9859,1685.5
gemma3_4b,decode,16384,32,P3,1.5442,20722.5
gemma3_4b,decode,16384,32,P5,1.5412,20763.6
gemma3_4b,decode,16384,64,P0,12.371,5173.4
gemma3_4b,decode,16384,64,P1,37.8267,1691.9
gemma3_4b,decode,16384,64,P3,2.9192,21923.9
gemma3_4b,decode,16384,64,P5,2.9154,21952.2
gemma3_4b,decode,32768,1,P0,0.4403,2271.1
gemma3_4b,decode,32768,1,P1,1.3149,760.5
gemma3_4b,decode,32768,1,P3,2.3085,433.2
gemma3_4b,decode,32768,1,P5,2.3076,433.4
gemma3_4b,decode,32768,4,P0,1.6183,2471.7
gemma3_4b,decode,32768,4,P1,4.8825,819.2
gemma3_4b,decode,32768,4,P3,2.5208,1586.8
gemma3_4b,decode,32768,4,P5,2.5164,1589.6
gemma3_4b,decode,32768,8,P0,3.1768,2518.3
gemma3_4b,decode,32768,8,P1,9.6192,831.7
gemma3_4b,decode,32768,8,P3,2.5205,3174.0
gemma3_4b,decode,32768,8,P5,2.5151,3180.7
gemma3_4b,decode,32768,32,P0,12.5718,2545.4
gemma3_4b,decode,32768,32,P1,38.0451,841.1
gemma3_4b,decode,32768,32,P3,3.0362,10539.5
gemma3_4b,decode,32768,32,P5,3.0369,10537.1
gemma3_4b,decode,32768,64,P0,25.0503,2554.9
gemma3_4b,decode,32768,64,P1,75.9777,842.4
gemma3_4b,decode,32768,64,P3,5.7644,11102.7
gemma3_4b,decode,32768,64,P5,5.754,11122.7
