B,M,P0_mean_ms,P0_std_ms,P1_mean_ms,P1_std_ms,P1_vs_P0,P2_mean_ms,P2_std_ms,P2_vs_P0,P3_mean_ms,P3_std_ms,P3_vs_P0,P4_mean_ms,P4_std_ms,P4_vs_P0,P5_mean_ms,P5_std_ms,P5_vs_P0,R,T_kv,config,mode
2,1,0.9605,0.0076,1.2704,0.0096,0.756,0.2352,0.0021,4.084,0.2323,0.0013,4.135,,,,0.2313,0.0016,4.153,1,4096,qwen25_7b,decode
4,1,1.4278,0.0127,1.9491,0.0475,0.733,0.2675,0.001,5.338,0.266,0.001,5.368,,,,0.2668,0.0011,5.352,1,4096,qwen25_7b,decode
8,1,2.3819,0.0106,3.347,0.0216,0.712,0.3356,0.0035,7.097,0.3334,0.0024,7.144,,,,0.344,0.0007,6.924,1,4096,qwen25_7b,decode
16,1,4.4444,0.0479,6.9836,0.0853,0.636,0.6501,0.0032,6.836,0.6488,0.0191,6.85,,,,0.6365,0.0263,6.983,1,4096,qwen25_7b,decode
1,1,1.5048,0.0168,1.792,0.0045,0.84,0.3625,0.0021,4.151,0.3597,0.0007,4.183,,,,0.359,0.0007,4.192,1,8192,qwen25_7b,decode
2,1,1.8892,0.021,2.4157,0.0172,0.782,0.4087,0.0035,4.622,0.4051,0.0006,4.664,,,,0.4055,0.0019,4.659,1,8192,qwen25_7b,decode
4,1,2.7173,0.0403,3.6806,0.0309,0.738,0.4749,0.0035,5.722,0.4907,0.0212,5.538,,,,0.4747,0.0062,5.724,1,8192,qwen25_7b,decode
8,1,4.5914,0.2059,7.1116,0.0911,0.646,0.7132,0.0245,6.438,0.6844,0.0053,6.709,,,,0.6749,0.0027,6.803,1,8192,qwen25_7b,decode
16,1,8.6397,0.1985,14.6217,0.0942,0.591,1.2712,0.0193,6.796,1.2137,0.0115,7.118,,,,1.1914,0.0011,7.252,1,8192,qwen25_7b,decode
1,1,2.9385,0.007,3.5741,0.1157,0.822,0.6809,0.0013,4.316,0.6802,0.0004,4.32,,,,0.6803,0.001,4.319,1,16384,qwen25_7b,decode
2,1,3.8008,0.0387,5.0356,0.2134,0.755,0.7756,0.0011,4.9,0.7757,0.0027,4.9,,,,0.7735,0.0014,4.914,1,16384,qwen25_7b,decode
4,1,5.4144,0.1,8.1197,0.1225,0.667,0.9953,0.0098,5.44,0.9536,0.0067,5.678,,,,0.942,0.0203,5.748,1,16384,qwen25_7b,decode
8,1,9.3785,0.2793,15.2682,0.0801,0.614,1.3721,0.0233,6.835,1.2945,0.0086,7.245,,,,1.2804,0.0046,7.325,1,16384,qwen25_7b,decode
16,1,18.6027,0.1145,30.3917,0.1134,0.612,2.4613,0.0405,7.558,2.4118,0.0187,7.713,,,,2.4038,0.0054,7.739,1,16384,qwen25_7b,decode
1,1,5.9578,0.072,7.3111,0.3505,0.815,1.3298,0.0353,4.48,1.3537,0.0454,4.401,,,,1.3159,0.0162,4.528,1,32768,qwen25_7b,decode
2,1,7.9035,0.1132,10.2976,0.0793,0.768,1.4916,0.0046,5.299,1.515,0.044,5.217,,,,1.4993,0.0156,5.271,1,32768,qwen25_7b,decode
4,1,11.2141,0.1018,17.1552,0.0494,0.654,1.864,0.0175,6.016,1.8064,0.0048,6.208,,,,1.7879,0.0052,6.272,1,32768,qwen25_7b,decode
8,1,19.7281,0.0821,31.6464,0.1304,0.623,2.6894,0.0711,7.336,2.5842,0.0052,7.634,,,,2.5588,0.0132,7.71,1,32768,qwen25_7b,decode
16,1,36.8029,0.2252,60.4708,0.0914,0.609,4.7368,0.0498,7.77,4.7938,0.0461,7.677,,,,4.7774,0.0248,7.704,1,32768,qwen25_7b,decode
1,512,0.098,0.001,0.1974,0.0017,0.496,,,,,,,0.4756,0.0147,0.206,0.5106,0.013,0.192,1,512,qwen25_05b,prefill
2,512,0.1462,0.0031,0.2453,0.0019,0.596,,,,,,,0.8298,0.0381,0.176,0.92,0.032,0.159,1,512,qwen25_05b,prefill
4,512,0.2407,0.0032,0.3572,0.0019,0.674,,,,,,,1.6733,0.0566,0.144,1.6019,0.0457,0.15,1,512,qwen25_05b,prefill
1,1024,0.2499,0.0014,0.3507,0.0015,0.713,,,,,,,1.635,0.056,0.153,1.4946,0.0181,0.167,1,1024,qwen25_05b,prefill
2,1024,0.3533,0.0113,0.5347,0.0142,0.661,,,,,,,2.8699,0.0482,0.123,2.877,0.0717,0.123,1,1024,qwen25_05b,prefill
4,1024,0.7977,0.0758,0.9174,0.0478,0.87,,,,,,,5.5347,0.0946,0.144,5.4411,0.0521,0.147,1,1024,qwen25_05b,prefill
