config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,decode,32768,64,P1,10,17.1417,0.0505,17.0883,17.2154,17.1781,17.0883,17.2154,3733.6,0.29
qwen25_05b,decode,32768,64,P3,10,2.658,0.0144,2.6427,2.6942,2.6535,2.6427,2.6942,24078.3,0.54
qwen25_05b,decode,32768,64,P5,10,2.6501,0.0073,2.6431,2.664,2.6475,2.6431,2.664,24150.0,0.28
qwen25_05b,decode,32768,128,P0,10,21.199,0.1213,21.0733,21.3236,21.3058,21.0733,21.3236,6038.0,0.57
qwen25_05b,decode,32768,128,P1,10,33.8196,0.0818,33.7607,33.98,33.7834,33.7607,33.98,3784.8,0.24
qwen25_05b,decode,32768,128,P3,10,4.6281,0.01,4.6185,4.6538,4.6255,4.6185,4.6538,27657.1,0.22
qwen25_05b,decode,32768,128,P5,10,4.6276,0.0067,4.6187,4.6375,4.6287,4.6187,4.6375,27660.1,0.14
qwen25_05b,decode,65536,1,P0,10,0.3695,0.0035,0.3656,0.375,0.3691,0.3656,0.375,2706.4,0.96
qwen25_05b,decode,65536,1,P1,10,0.6087,0.0142,0.5908,0.6295,0.6167,0.5908,0.6295,1642.8,2.33
qwen25_05b,decode,65536,1,P3,10,1.3454,0.0044,1.3413,1.3528,1.3454,1.3413,1.3528,743.3,0.33
qwen25_05b,decode,65536,1,P5,10,1.3424,0.0019,1.3404,1.3474,1.3418,1.3404,1.3474,744.9,0.14
qwen25_05b,decode,65536,2,P0,10,0.6674,0.0028,0.6645,0.6743,0.6673,0.6645,0.6743,2996.7,0.42
qwen25_05b,decode,65536,2,P1,10,1.1172,0.006,1.1124,1.1315,1.1152,1.1124,1.1315,1790.2,0.53
qwen25_05b,decode,65536,2,P3,10,1.345,0.0036,1.3414,1.3538,1.3447,1.3414,1.3538,1487.0,0.26
qwen25_05b,decode,65536,2,P5,10,1.3446,0.0036,1.3404,1.35,1.3435,1.3404,1.35,1487.4,0.27
qwen25_05b,decode,65536,4,P0,10,1.2907,0.0042,1.2869,1.299,1.2891,1.2869,1.299,3099.1,0.33
qwen25_05b,decode,65536,4,P1,10,2.1642,0.0026,2.161,2.169,2.1649,2.161,2.169,1848.3,0.12
qwen25_05b,decode,65536,4,P3,10,1.6194,0.0058,1.6134,1.6311,1.6178,1.6134,1.6311,2470.1,0.36
qwen25_05b,decode,65536,4,P5,10,1.6202,0.0027,1.6179,1.6254,1.6197,1.6179,1.6254,2468.8,0.17
qwen25_05b,decode,65536,8,P0,10,2.5331,0.0079,2.5282,2.5515,2.5298,2.5282,2.5515,3158.2,0.31
qwen25_05b,decode,65536,8,P1,10,4.2078,0.0039,4.2035,4.217,4.2074,4.2035,4.217,1901.2,0.09
qwen25_05b,decode,65536,8,P3,10,1.6309,0.0041,1.627,1.6398,1.6292,1.627,1.6398,4905.3,0.25
qwen25_05b,decode,65536,8,P5,10,1.629,0.0042,1.6254,1.6407,1.6281,1.6254,1.6407,4911.0,0.26
