config,B,T_kv,pipeline,max_memory_mb,oom
mistral_7b,32,65536,P5,18690.1,False
mistral_7b,32,131072,P0,56405.3,False
mistral_7b,32,131072,P5,37346.3,False
llama31_8b,1,512,P0,44.7,False
llama31_8b,1,512,P5,38.1,False
llama31_8b,1,1024,P0,55.9,False
llama31_8b,1,1024,P5,42.7,False
llama31_8b,1,2048,P0,78.0,False
llama31_8b,1,2048,P5,51.8,False
llama31_8b,1,4096,P0,122.3,False
llama31_8b,1,4096,P5,70.0,False
llama31_8b,1,8192,P0,210.9,False
llama31_8b,1,8192,P5,106.4,False
llama31_8b,1,16384,P0,388.1,False
llama31_8b,1,16384,P5,179.3,False
llama31_8b,1,32768,P0,742.5,False
llama31_8b,1,32768,P5,325.1,False
llama31_8b,1,65536,P0,1451.4,False
llama31_8b,1,65536,P5,616.6,False
llama31_8b,1,131072,P0,2869.0,False
llama31_8b,1,131072,P5,1199.6,False
llama31_8b,32,512,P0,388.5,False
llama31_8b,32,512,P5,179.6,False
llama31_8b,32,1024,P0,742.9,False
llama31_8b,32,1024,P5,325.3,False
llama31_8b,32,2048,P0,1451.8,False
llama31_8b,32,2048,P5,616.8,False
llama31_8b,32,4096,P0,2869.4,False
llama31_8b,32,4096,P5,1199.8,False
llama31_8b,32,8192,P0,5704.8,False
llama31_8b,32,8192,P5,2365.8,False
llama31_8b,32,16384,P0,11375.5,False
llama31_8b,32,16384,P5,4697.9,False
llama31_8b,32,32768,P0,22716.9,False
llama31_8b,32,32768,P5,9361.9,False
llama31_8b,32,65536,P0,45399.7,False
llama31_8b,32,65536,P5,18690.1,False
llama31_8b,32,131072,P0,56405.3,False
llama31_8b,32,131072,P5,37346.3,False
nemotron3_nano,1,512,P0,42.7,False
nemotron3_nano,1,512,P5,34.7,False
nemotron3_nano,1,1024,P0,51.8,False
nemotron3_nano,1,1024,P5,35.8,False
nemotron3_nano,1,2048,P0,69.9,False
nemotron3_nano,1,2048,P5,38.1,False
nemotron3_nano,1,4096,P0,106.2,False
nemotron3_nano,1,4096,P5,42.7,False
nemotron3_nano,1,8192,P0,178.7,False
nemotron3_nano,1,8192,P5,51.8,False
nemotron3_nano,1,16384,P0,323.6,False
nemotron3_nano,1,16384,P5,70.0,False
nemotron3_nano,1,32768,P0,613.6,False
nemotron3_nano,1,32768,P5,106.4,False
nemotron3_nano,1,65536,P0,1193.4,False
nemotron3_nano,1,65536,P5,179.3,False
nemotron3_nano,1,131072,P0,2353.1,False
nemotron3_nano,1,131072,P5,325.1,False
nemotron3_nano,32,512,P0,324.0,False
nemotron3_nano,32,512,P5,70.3,False
nemotron3_nano,32,1024,P0,613.9,False
nemotron3_nano,32,1024,P5,106.7,False
nemotron3_nano,32,2048,P0,1193.8,False
nemotron3_nano,32,2048,P5,179.6,False
nemotron3_nano,32,4096,P0,2353.5,False
nemotron3_nano,32,4096,P5,325.3,False
nemotron3_nano,32,8192,P0,4673.0,False
nemotron3_nano,32,8192,P5,616.8,False
nemotron3_nano,32,16384,P0,9311.9,False
nemotron3_nano,32,16384,P5,1199.8,False
nemotron3_nano,32,32768,P0,18589.7,False
nemotron3_nano,32,32768,P5,2365.8,False
nemotron3_nano,32,65536,P0,37145.3,False
nemotron3_nano,32,65536,P5,4697.9,False
nemotron3_nano,32,131072,P0,74256.5,False
nemotron3_nano,32,131072,P5,9361.9,False
deepseek_mla,1,512,P0,38.1,False
deepseek_mla,1,512,P5,34.1,False
deepseek_mla,1,1024,P0,42.7,False
deepseek_mla,1,1024,P5,34.7,False
deepseek_mla,1,2048,P0,51.8,False
deepseek_mla,1,2048,P5,35.8,False
deepseek_mla,1,4096,P0,69.9,False
deepseek_mla,1,4096,P5,38.1,False
deepseek_mla,1,8192,P0,106.2,False
deepseek_mla,1,8192,P5,42.7,False
deepseek_mla,1,16384,P0,178.7,False
deepseek_mla,1,16384,P5,51.8,False
deepseek_mla,1,32768,P0,323.6,False
deepseek_mla,1,32768,P5,70.0,False
deepseek_mla,1,65536,P0,613.5,False
deepseek_mla,1,65536,P5,106.4,False
deepseek_mla,1,131072,P0,1193.4,False
deepseek_mla,1,131072,P5,179.3,False
deepseek_mla,32,512,P0,178.8,False
deepseek_mla,32,512,P5,51.9,False
deepseek_mla,32,1024,P0,323.8,False
deepseek_mla,32,1024,P5,70.1,False
deepseek_mla,32,2048,P0,613.7,False
deepseek_mla,32,2048,P5,106.6,False
deepseek_mla,32,4096,P0,1193.5,False
deepseek_mla,32,4096,P5,179.4,False
deepseek_mla,32,8192,P0,2353.3,False
deepseek_mla,32,8192,P5,325.2,False
deepseek_mla,32,16384,P0,4672.7,False
deepseek_mla,32,16384,P5,616.7,False
deepseek_mla,32,32768,P0,9311.6,False
deepseek_mla,32,32768,P5,1199.7,False
deepseek_mla,32,65536,P0,18589.4,False
deepseek_mla,32,65536,P5,2365.7,False
deepseek_mla,32,131072,P0,37145.0,False
deepseek_mla,32,131072,P5,4697.8,False
gemma3_4b,1,512,P0,40.5,False
gemma3_4b,1,512,P5,38.1,False
gemma3_4b,1,1024,P0,47.5,False
gemma3_4b,1,1024,P5,42.7,False
gemma3_4b,1,2048,P0,61.4,False
gemma3_4b,1,2048,P5,51.8,False
gemma3_4b,1,4096,P0,88.9,False
gemma3_4b,1,4096,P5,70.0,False
gemma3_4b,1,8192,P0,143.9,False
gemma3_4b,1,8192,P5,106.4,False
gemma3_4b,1,16384,P0,254.0,False
gemma3_4b,1,16384,P5,179.3,False
gemma3_4b,1,32768,P0,474.2,False
gemma3_4b,1,32768,P5,325.1,False
gemma3_4b,1,65536,P0,914.6,False
gemma3_4b,1,65536,P5,616.6,False
gemma3_4b,1,131072,P0,1795.4,False
gemma3_4b,1,131072,P5,1199.6,False
gemma3_4b,32,512,P0,254.0,False
gemma3_4b,32,512,P5,179.4,False
gemma3_4b,32,1024,P0,474.2,False
gemma3_4b,32,1024,P5,325.2,False
gemma3_4b,32,2048,P0,914.6,False
gemma3_4b,32,2048,P5,616.7,False
gemma3_4b,32,4096,P0,1795.4,False
gemma3_4b,32,4096,P5,1199.7,False
gemma3_4b,32,8192,P0,3557.0,False
gemma3_4b,32,8192,P5,2365.7,False
gemma3_4b,32,16384,P0,7080.2,False
gemma3_4b,32,16384,P5,4697.8,False
gemma3_4b,32,32768,P0,14126.7,False
gemma3_4b,32,32768,P5,9361.8,False
gemma3_4b,32,65536,P0,28219.5,False
gemma3_4b,32,65536,P5,18689.9,False
gemma3_4b,32,131072,P0,56405.3,False
gemma3_4b,32,131072,P5,37346.2,False
gemma3_12b,1,512,P0,47.5,False
gemma3_12b,1,512,P5,42.7,False
gemma3_12b,1,1024,P0,61.4,False
gemma3_12b,1,1024,P5,51.8,False
gemma3_12b,1,2048,P0,88.9,False
gemma3_12b,1,2048,P5,70.0,False
gemma3_12b,1,4096,P0,143.9,False
gemma3_12b,1,4096,P5,106.4,False
gemma3_12b,1,8192,P0,254.0,False
gemma3_12b,1,8192,P5,179.3,False
gemma3_12b,1,16384,P0,474.2,False
gemma3_12b,1,16384,P5,325.1,False
gemma3_12b,1,32768,P0,914.6,False
gemma3_12b,1,32768,P5,616.6,False
gemma3_12b,1,65536,P0,1795.4,False
gemma3_12b,1,65536,P5,1199.6,False
gemma3_12b,1,131072,P0,3557.0,False
gemma3_12b,1,131072,P5,2365.6,False
gemma3_12b,32,512,P0,474.5,False
gemma3_12b,32,512,P5,325.3,False
gemma3_12b,32,1024,P0,914.9,False
gemma3_12b,32,1024,P5,616.8,False
