W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,kv_mb_per_tok,kv_kept_mean,feasible
409,2048,0.520465582267526,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.101975243538618,6.617088,538.5,False
409,2048,0.520465582267526,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.192577097564936,7.575552,616.5,False
409,2048,0.5679979630297474,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.095148649066687,6.617088,538.5,False
409,2048,0.5679979630297474,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.199077263474464,7.575552,616.5,False
409,2048,0.6298031807979441,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.097733534872532,6.617088,538.5,False
409,2048,0.6298031807979441,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.192054625600576,7.575552,616.5,False
409,2867,0.520465582267526,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.096048306673765,6.617088,538.5,False
409,2867,0.520465582267526,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.191197343170643,7.575552,616.5,False
409,2867,0.5679979630297474,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.101794101297855,6.617088,538.5,False
409,2867,0.5679979630297474,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.191285353153944,7.575552,616.5,False
409,2867,0.6298031807979441,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.093414526432753,6.617088,538.5,False
409,2867,0.6298031807979441,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.188367053866386,7.575552,616.5,False
409,3276,0.520465582267526,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.105225093662739,6.617088,538.5,False
409,3276,0.520465582267526,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.195649530738592,7.575552,616.5,False
409,3276,0.5679979630297474,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.107044897973537,6.617088,538.5,False
409,3276,0.5679979630297474,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.188559837639332,7.575552,616.5,False
409,3276,0.6298031807979441,0.95,4,2.0,8,275.11000425088497,1589.8851887985081,9.108987171202898,6.617088,538.5,False
409,3276,0.6298031807979441,0.95,4,4.0,8,333.9104415291773,1951.0715743028522,9.203162044286728,7.575552,616.5,False
