W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,kv_mb_per_tok,kv_kept_mean,feasible
204,1024,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.776974398642778,4.098048,333.5,False
204,1024,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.918739389628172,5.056512,411.5,False
204,1024,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.774502202868462,4.098048,333.5,False
204,1024,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.904058020561934,5.056512,411.5,False
204,1024,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.775296155363321,4.098048,333.5,False
204,1024,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.914892096072435,5.056512,411.5,False
204,1433,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.779959287494421,4.098048,333.5,False
204,1433,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.914888836443424,5.056512,411.5,False
204,1433,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.782471530139446,4.098048,333.5,False
204,1433,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.914415258914232,5.056512,411.5,False
204,1433,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.769998326897621,4.098048,333.5,False
204,1433,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.90604080632329,5.056512,411.5,False
204,1638,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.771312423050404,4.098048,333.5,False
204,1638,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.907953277230263,5.056512,411.5,False
204,1638,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.77904100343585,4.098048,333.5,False
204,1638,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.910431526601315,5.056512,411.5,False
204,1638,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.773739449679852,4.098048,333.5,False
204,1638,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.92149843275547,5.056512,411.5,False
204,1843,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.777633309364319,4.098048,333.5,False
204,1843,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.906391449272633,5.056512,411.5,False
204,1843,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.768353145569563,4.098048,333.5,False
204,1843,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.91602924093604,5.056512,411.5,False
204,1843,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.77383816987276,4.098048,333.5,False
204,1843,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.921733126044273,5.056512,411.5,False
204,1945,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.77801887691021,4.098048,333.5,False
204,1945,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.911510929465294,5.056512,411.5,False
204,1945,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.774245623499155,4.098048,333.5,False
204,1945,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.917117957025766,5.056512,411.5,False
204,1945,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.778610732406378,4.098048,333.5,False
204,1945,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.922986686229706,5.056512,411.5,False
409,1024,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.107321500778198,6.617088,538.5,False
409,1024,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.19418828561902,7.550976,614.5,False
409,1024,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.094673674553633,6.617088,538.5,False
409,1024,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.205460548400879,7.550976,614.5,False
409,1024,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.093258064240217,6.617088,538.5,False
409,1024,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.209168143570423,7.550976,614.5,False
409,1433,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.104153141379356,6.617088,538.5,False
409,1433,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.19344648718834,7.550976,614.5,False
409,1433,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.103004820644855,6.617088,538.5,False
409,1433,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.210805408656597,7.550976,614.5,False
