config,B,T_kv,pipeline_a_mean_ms,pipeline_a_std_ms,pipeline_b_mean_ms,pipeline_b_std_ms,pipeline_c_mean_ms,pipeline_c_std_ms,speedup_b_vs_a,speedup_b_vs_c,latency_improvement_pct,pipeline_a_tok_per_sec,pipeline_b_tok_per_sec,pipeline_c_tok_per_sec,throughput_improvement_pct,peak_mem_a_mb,peak_mem_b_mb,peak_mem_c_mb,traffic_reduction_b_vs_a_pct,traffic_reduction_b_vs_c_pct
qwen25_7b,2,4096,1.267,0.0017,0.23,0.0012,0.9821,0.0129,5.509,4.27,81.85,1578.5,8695.7,2036.5,450.87,141.2,7.0,141.2,87.7,71.9
qwen25_7b,4,4096,1.9263,0.0312,0.2714,0.0019,1.4246,0.0652,7.098,5.249,85.91,2076.5,14738.4,2807.8,609.76,282.4,14.0,282.4,87.7,71.9
qwen25_7b,8,4096,3.3918,0.1043,0.4053,0.016,2.3661,0.0111,8.369,5.838,88.05,2358.6,19738.5,3381.1,736.86,564.8,27.9,564.8,87.7,71.9
qwen25_7b,16,4096,6.9333,0.0589,0.6598,0.0252,4.4126,0.0597,10.508,6.688,90.48,2307.7,24249.8,3626.0,950.82,1129.6,55.9,1129.6,87.7,71.9
qwen25_7b,1,8192,1.8014,0.0054,0.3655,0.0012,1.5016,0.0061,4.929,4.108,79.71,555.1,2736.0,666.0,392.86,174.7,40.5,174.7,87.7,71.9
qwen25_7b,2,8192,2.4131,0.0164,0.4165,0.0039,1.8777,0.0126,5.794,4.508,82.74,828.8,4801.9,1065.1,479.38,282.4,13.9,282.4,87.7,71.9
qwen25_7b,4,8192,3.6979,0.0152,0.5556,0.0153,2.7387,0.0364,6.656,4.929,84.98,1081.7,7199.4,1460.5,565.57,564.7,27.9,564.7,87.7,71.9
qwen25_7b,8,8192,7.0299,0.0945,0.6945,0.0037,4.4546,0.137,10.122,6.414,90.12,1138.0,11519.1,1795.9,912.22,1129.5,55.7,1129.5,87.7,71.9
qwen25_7b,16,8192,14.6647,0.0477,1.2577,0.0097,8.6509,0.1701,11.66,6.878,91.42,1091.1,12721.6,1849.5,1065.99,2258.9,111.4,2258.9,87.7,71.9
qwen25_7b,1,16384,3.515,0.0092,0.6944,0.0014,2.9689,0.0059,5.062,4.275,80.24,284.5,1440.1,336.8,406.19,349.3,80.9,349.3,87.7,71.9
qwen25_7b,2,16384,5.178,0.4006,0.7835,0.0009,3.8226,0.123,6.609,4.879,84.87,386.2,2552.6,523.2,560.88,564.7,27.8,564.7,87.7,71.9
qwen25_7b,4,16384,8.0802,0.1205,0.9944,0.0104,5.4608,0.1981,8.126,5.492,87.69,495.0,4022.5,732.5,712.57,1129.4,55.6,1129.4,87.7,71.9
qwen25_7b,8,16384,15.2067,0.1158,1.3684,0.0176,9.3807,0.2234,11.113,6.855,91.0,526.1,5846.2,852.8,1011.28,2258.8,111.3,2258.8,87.7,71.9
qwen25_7b,16,16384,30.3751,0.0669,2.5055,0.0338,18.715,0.1082,12.123,7.47,91.75,526.7,6386.0,854.9,1112.34,4517.6,222.6,4517.6,87.7,71.9
qwen25_7b,1,32768,7.099,0.0814,1.3263,0.0045,5.9734,0.0372,5.352,4.504,81.32,140.9,754.0,167.4,435.25,698.5,161.6,698.5,87.7,71.9
qwen25_7b,2,32768,10.9054,0.3898,1.5059,0.01,7.7761,0.3738,7.242,5.164,86.19,183.4,1328.1,257.2,624.18,1129.4,55.6,1129.4,87.7,71.9
qwen25_7b,4,32768,17.1984,0.1424,1.8748,0.0289,11.9045,0.7533,9.173,6.35,89.1,232.6,2133.6,336.0,817.35,2258.7,111.2,2258.7,87.7,71.9
qwen25_7b,8,32768,31.7262,0.1386,2.6056,0.0402,19.9411,0.1235,12.176,7.653,91.79,252.2,3070.3,401.2,1117.62,4517.4,222.4,4517.4,87.7,71.9
qwen25_7b,16,32768,60.6508,0.0846,4.8385,0.0336,37.1413,0.0798,12.535,7.676,92.02,263.8,3306.8,430.8,1153.5,9034.8,444.9,9034.8,87.7,71.9
