config,mode,T_kv,B,pipeline,latency_ms,tokens_per_sec
qwen25_05b,decode,2048,1,P0,0.0586,17067.2
qwen25_05b,decode,2048,1,P1,0.279,3583.7
qwen25_05b,decode,2048,1,P3,0.0742,13469.5
qwen25_05b,decode,2048,1,P5,0.0764,13094.1
qwen25_05b,decode,2048,2,P0,0.062,32242.5
qwen25_05b,decode,2048,2,P1,0.2823,7085.6
qwen25_05b,decode,2048,2,P3,0.074,27036.5
qwen25_05b,decode,2048,2,P5,0.0763,26226.1
qwen25_05b,decode,2048,4,P0,0.0675,59222.4
qwen25_05b,decode,2048,4,P1,0.2772,14427.8
qwen25_05b,decode,2048,4,P3,0.0776,51539.7
qwen25_05b,decode,2048,4,P5,0.0737,54266.6
qwen25_05b,decode,2048,8,P0,0.1149,69639.1
qwen25_05b,decode,2048,8,P1,0.3227,24790.4
qwen25_05b,decode,2048,8,P3,0.0737,108506.9
qwen25_05b,decode,2048,8,P5,0.0744,107535.6
qwen25_05b,decode,2048,16,P0,0.2078,76993.4
qwen25_05b,decode,2048,16,P1,0.42,38094.8
qwen25_05b,decode,2048,16,P3,0.082,195050.6
qwen25_05b,decode,2048,16,P5,0.082,195141.0
qwen25_05b,decode,2048,32,P0,0.3932,81374.8
qwen25_05b,decode,2048,32,P1,0.6344,50439.2
qwen25_05b,decode,2048,32,P3,0.1297,246761.3
qwen25_05b,decode,2048,32,P5,0.129,248046.6
qwen25_05b,decode,4096,1,P0,0.0587,17034.0
qwen25_05b,decode,4096,1,P1,0.2737,3653.7
qwen25_05b,decode,4096,1,P3,0.1159,8631.6
qwen25_05b,decode,4096,1,P5,0.1148,8708.7
qwen25_05b,decode,4096,2,P0,0.0687,29112.9
qwen25_05b,decode,4096,2,P1,0.2779,7196.4
qwen25_05b,decode,4096,2,P3,0.1154,17328.0
qwen25_05b,decode,4096,2,P5,0.1189,16824.0
qwen25_05b,decode,4096,4,P0,0.1128,35454.6
qwen25_05b,decode,4096,4,P1,0.3274,12217.2
qwen25_05b,decode,4096,4,P3,0.1169,34216.6
qwen25_05b,decode,4096,4,P5,0.1189,33653.6
qwen25_05b,decode,4096,8,P0,0.1981,40388.5
qwen25_05b,decode,4096,8,P1,0.4132,19361.8
qwen25_05b,decode,4096,8,P3,0.116,68989.2
qwen25_05b,decode,4096,8,P5,0.1147,69738.5
qwen25_05b,decode,4096,16,P0,0.3813,41959.5
qwen25_05b,decode,4096,16,P1,0.6215,25744.3
qwen25_05b,decode,4096,16,P3,0.1314,121782.1
qwen25_05b,decode,4096,16,P5,0.1301,122985.9
qwen25_05b,decode,4096,32,P0,0.7395,43272.8
qwen25_05b,decode,4096,32,P1,1.1882,26930.7
qwen25_05b,decode,4096,32,P3,0.2275,140639.4
qwen25_05b,decode,4096,32,P5,0.2249,142314.4
qwen25_05b,decode,8192,1,P0,0.0716,13975.8
qwen25_05b,decode,8192,1,P1,0.286,3496.5
qwen25_05b,decode,8192,1,P3,0.1994,5015.4
qwen25_05b,decode,8192,1,P5,0.1968,5080.6
qwen25_05b,decode,8192,2,P0,0.1158,17267.3
qwen25_05b,decode,8192,2,P1,0.3304,6052.8
