batch_size,context_len,tokens_per_sec,latency_ms,kv_bandwidth_gb_s
1,2048,123.5,8.094,14.6
2,2048,240.8,8.306,28.5
4,2048,472.8,8.461,56.0
8,2048,894.8,8.941,105.9
16,2048,1698.6,9.42,201.0
32,2048,3098.6,10.327,366.7
64,2048,4666.0,13.716,552.3
128,2048,6633.3,19.296,785.1
