model,n_heads,n_kv_heads,head_dim,T,B,lat_P0_ms,lat_P1_ms,lat_P3_ms,speedup_P5_P0,kv_bytes_fp16,kv_bytes_int4,kv_bytes_per_token_fp16,kv_bytes_per_token_int4,flops,ai_fp16,ai_int4,tokens_per_sec_P0,tokens_per_sec_P5
deepseek_mla,16,1,128,65536,1,0.2056,0.9655,1.9322,0.106,33554432,9437184,33554432.0,9437184.0,536870912,16.0,56.8889,4862.9,517.6
deepseek_mla,16,1,128,65536,2,0.382,1.9476,1.9566,0.195,67108864,18874368,33554432.0,9437184.0,1073741824,16.0,56.8889,5235.0,1022.2
deepseek_mla,16,1,128,65536,4,0.7194,3.7928,2.1767,0.33,134217728,37748736,33554432.0,9437184.0,2147483648,16.0,56.8889,5560.4,1837.7
deepseek_mla,16,1,128,65536,8,1.4053,7.4488,2.1677,0.648,268435456,75497472,33554432.0,9437184.0,4294967296,16.0,56.8889,5692.7,3690.5
deepseek_mla,16,1,128,65536,16,3.1295,15.2821,2.5505,1.227,536870912,150994944,33554432.0,9437184.0,8589934592,16.0,56.8889,5112.6,6273.2
deepseek_mla,16,1,128,65536,32,6.8518,30.5355,4.9324,1.389,1073741824,301989888,33554432.0,9437184.0,17179869184,16.0,56.8889,4670.3,6487.7
deepseek_mla,16,1,128,131072,1,0.4566,2.1406,3.7729,0.121,67108864,18874368,67108864.0,18874368.0,1073741824,16.0,56.8889,2190.0,265.0
deepseek_mla,16,1,128,131072,2,0.7318,4.3439,4.2983,0.17,134217728,37748736,67108864.0,18874368.0,2147483648,16.0,56.8889,2732.9,465.3
deepseek_mla,16,1,128,131072,4,1.4073,8.5363,4.3204,0.326,268435456,75497472,67108864.0,18874368.0,4294967296,16.0,56.8889,2842.4,925.8
deepseek_mla,16,1,128,131072,8,2.7893,16.9096,4.308,0.647,536870912,150994944,67108864.0,18874368.0,8589934592,16.0,56.8889,2868.1,1857.0
deepseek_mla,16,1,128,131072,16,6.8413,34.6244,5.0511,1.354,1073741824,301989888,67108864.0,18874368.0,17179869184,16.0,56.8889,2338.7,3167.7
deepseek_mla,16,1,128,131072,32,14.1085,69.2327,9.7668,1.445,2147483648,603979776,67108864.0,18874368.0,34359738368,16.0,56.8889,2268.1,3276.4
synth_D32,32,8,32,8192,8,0.2097,0,0.1785,1.175,67108864,18874368,8388608.0,2359296.0,268435456,4.0,14.2222,38144.3,44828.0
synth_D64,32,8,64,8192,8,0.2527,0,0.2612,0.967,134217728,37748736,16777216.0,4718592.0,536870912,4.0,14.2222,31654.3,30624.4
synth_D128,32,8,128,8192,8,0.4189,0,0.342,1.225,268435456,75497472,33554432.0,9437184.0,1073741824,4.0,14.2222,19095.8,23391.1
synth_D256,32,8,256,8192,8,0.715,0,0.6073,1.177,536870912,150994944,67108864.0,18874368.0,2147483648,4.0,14.2222,11189.6,13173.3
