model,n_heads,n_kv_heads,head_dim,T,B,lat_P0_ms,lat_P1_ms,lat_P3_ms,speedup_P5_P0,kv_bytes_fp16,kv_bytes_int4,kv_bytes_per_token_fp16,kv_bytes_per_token_int4,flops,ai_fp16,ai_int4,tokens_per_sec_P0,tokens_per_sec_P5
qwen25_1.8b,16,2,128,131072,8,2.7882,20.1242,4.2708,0.653,1073741824,301989888,134217728.0,37748736.0,8589934592,8.0,28.4444,2869.2,1873.2
qwen25_1.8b,16,2,128,131072,16,6.2693,41.0592,4.7991,1.306,2147483648,603979776,134217728.0,37748736.0,17179869184,8.0,28.4444,2552.1,3334.0
qwen25_1.8b,16,2,128,131072,32,14.0542,81.8904,9.6402,1.458,4294967296,1207959552,134217728.0,37748736.0,34359738368,8.0,28.4444,2276.9,3319.4
qwen25_7b,28,4,128,2048,1,0.0334,0.2816,0.0906,0.369,4194304,1179648,4194304.0,1179648.0,29360128,7.0,24.8889,29913.3,11038.7
qwen25_7b,28,4,128,2048,2,0.0506,0.3405,0.094,0.538,8388608,2359296,4194304.0,1179648.0,58720256,7.0,24.8889,39533.5,21269.8
qwen25_7b,28,4,128,2048,4,0.0732,0.4231,0.0928,0.789,16777216,4718592,4194304.0,1179648.0,117440512,7.0,24.8889,54615.0,43108.1
qwen25_7b,28,4,128,2048,8,0.1201,0.608,0.1064,1.129,33554432,9437184,4194304.0,1179648.0,234881024,7.0,24.8889,66611.2,75202.1
qwen25_7b,28,4,128,2048,16,0.224,1.1577,0.1698,1.319,67108864,18874368,4194304.0,1179648.0,469762048,7.0,24.8889,71422.2,94234.1
qwen25_7b,28,4,128,2048,32,0.3855,2.2199,0.3218,1.198,134217728,37748736,4194304.0,1179648.0,939524096,7.0,24.8889,83011.2,99449.9
qwen25_7b,28,4,128,4096,1,0.0479,0.3246,0.152,0.315,8388608,2359296,8388608.0,2359296.0,58720256,7.0,24.8889,20889.9,6580.2
qwen25_7b,28,4,128,4096,2,0.0669,0.4175,0.1524,0.439,16777216,4718592,8388608.0,2359296.0,117440512,7.0,24.8889,29904.3,13121.6
qwen25_7b,28,4,128,4096,4,0.1042,0.5892,0.1531,0.681,33554432,9437184,8388608.0,2359296.0,234881024,7.0,24.8889,38387.7,26123.1
qwen25_7b,28,4,128,4096,8,0.2172,1.1392,0.1743,1.246,67108864,18874368,8388608.0,2359296.0,469762048,7.0,24.8889,36837.3,45905.8
qwen25_7b,28,4,128,4096,16,0.413,2.2269,0.3332,1.239,134217728,37748736,8388608.0,2359296.0,939524096,7.0,24.8889,38745.5,48012.0
qwen25_7b,28,4,128,4096,32,0.7324,4.2991,0.6016,1.217,268435456,75497472,8388608.0,2359296.0,1879048192,7.0,24.8889,43691.9,53194.1
qwen25_7b,28,4,128,8192,1,0.0688,0.4134,0.269,0.256,16777216,4718592,16777216.0,4718592.0,117440512,7.0,24.8889,14545.5,3717.3
qwen25_7b,28,4,128,8192,2,0.1035,0.5915,0.2717,0.381,33554432,9437184,16777216.0,4718592.0,234881024,7.0,24.8889,19321.8,7360.2
qwen25_7b,28,4,128,8192,4,0.1814,1.1082,0.2717,0.667,67108864,18874368,16777216.0,4718592.0,469762048,7.0,24.8889,22054.4,14720.5
qwen25_7b,28,4,128,8192,8,0.4113,2.2298,0.3484,1.181,134217728,37748736,16777216.0,4718592.0,939524096,7.0,24.8889,19450.0,22964.7
qwen25_7b,28,4,128,8192,16,0.8089,4.3185,0.6324,1.279,268435456,75497472,16777216.0,4718592.0,1879048192,7.0,24.8889,19781.1,25299.6
qwen25_7b,28,4,128,8192,32,1.4303,8.4425,1.1611,1.232,536870912,150994944,16777216.0,4718592.0,3758096384,7.0,24.8889,22372.6,27559.6
qwen25_7b,28,4,128,16384,1,0.1052,0.594,0.5012,0.21,33554432,9437184,33554432.0,9437184.0,234881024,7.0,24.8889,9503.0,1995.2
qwen25_7b,28,4,128,16384,2,0.1821,1.1113,0.5087,0.358,67108864,18874368,33554432.0,9437184.0,469762048,7.0,24.8889,10984.2,3931.6
qwen25_7b,28,4,128,16384,4,0.3347,2.162,0.563,0.595,134217728,37748736,33554432.0,9437184.0,939524096,7.0,24.8889,11950.3,7104.9
qwen25_7b,28,4,128,16384,8,0.794,4.3342,0.6543,1.213,268435456,75497472,33554432.0,9437184.0,1879048192,7.0,24.8889,10075.9,12226.4
qwen25_7b,28,4,128,16384,16,1.5642,8.5614,1.2434,1.258,536870912,150994944,33554432.0,9437184.0,3758096384,7.0,24.8889,10228.7,12868.3
qwen25_7b,28,4,128,16384,32,2.8343,16.8708,2.2985,1.233,1073741824,301989888,33554432.0,9437184.0,7516192768,7.0,24.8889,11290.4,13922.3
qwen25_7b,28,4,128,32768,1,0.1827,1.1229,0.9769,0.187,67108864,18874368,67108864.0,18874368.0,469762048,7.0,24.8889,5473.5,1023.6
qwen25_7b,28,4,128,32768,2,0.3374,2.1732,1.1017,0.306,134217728,37748736,67108864.0,18874368.0,939524096,7.0,24.8889,5928.6,1815.3
qwen25_7b,28,4,128,32768,4,0.6401,4.2102,1.0942,0.585,268435456,75497472,67108864.0,18874368.0,1879048192,7.0,24.8889,6249.0,3655.7
qwen25_7b,28,4,128,32768,8,1.544,8.5702,1.2642,1.221,536870912,150994944,67108864.0,18874368.0,3758096384,7.0,24.8889,5181.5,6328.3
qwen25_7b,28,4,128,32768,16,3.0878,17.0813,2.4292,1.271,1073741824,301989888,67108864.0,18874368.0,7516192768,7.0,24.8889,5181.6,6586.5
qwen25_7b,28,4,128,32768,32,6.1055,33.7678,4.5387,1.345,2147483648,603979776,67108864.0,18874368.0,15032385536,7.0,24.8889,5241.2,7050.5
qwen25_7b,28,4,128,65536,1,0.3934,2.2054,2.1551,0.183,134217728,37748736,134217728.0,37748736.0,939524096,7.0,24.8889,2541.8,464.0
qwen25_7b,28,4,128,65536,2,0.6393,4.2876,2.1558,0.297,268435456,75497472,134217728.0,37748736.0,1879048192,7.0,24.8889,3128.3,927.8
qwen25_7b,28,4,128,65536,4,1.2419,8.4305,2.1278,0.584,536870912,150994944,134217728.0,37748736.0,3758096384,7.0,24.8889,3220.9,1879.9
qwen25_7b,28,4,128,65536,8,3.0634,17.197,2.4491,1.251,1073741824,301989888,134217728.0,37748736.0,7516192768,7.0,24.8889,2611.5,3266.6
qwen25_7b,28,4,128,65536,16,6.2784,34.6427,4.766,1.317,2147483648,603979776,134217728.0,37748736.0,15032385536,7.0,24.8889,2548.4,3357.1
qwen25_7b,28,4,128,65536,32,12.3684,68.5877,9.0377,1.369,4294967296,1207959552,134217728.0,37748736.0,30064771072,7.0,24.8889,2587.2,3540.7
qwen25_7b,28,4,128,131072,1,0.7577,5.1166,4.2355,0.179,268435456,75497472,268435456.0,75497472.0,1879048192,7.0,24.8889,1319.8,236.1
qwen25_7b,28,4,128,131072,2,1.2465,9.2762,4.2783,0.291,536870912,150994944,268435456.0,75497472.0,3758096384,7.0,24.8889,1604.5,467.5
qwen25_7b,28,4,128,131072,4,2.4626,18.389,4.2144,0.584,1073741824,301989888,268435456.0,75497472.0,7516192768,7.0,24.8889,1624.3,949.1
qwen25_7b,28,4,128,131072,8,6.1247,37.7918,4.8759,1.256,2147483648,603979776,268435456.0,75497472.0,15032385536,7.0,24.8889,1306.2,1640.7
qwen25_7b,28,4,128,131072,16,13.45,76.1734,9.6579,1.393,4294967296,1207959552,268435456.0,75497472.0,30064771072,7.0,24.8889,1189.6,1656.7
mistral_7b,32,8,128,2048,1,0.034,0.2902,0.0943,0.36,8388608,2359296,8388608.0,2359296.0,33554432,4.0,14.2222,29446.4,10600.0
mistral_7b,32,8,128,2048,2,0.0533,0.3432,0.09,0.592,16777216,4718592,8388608.0,2359296.0,67108864,4.0,14.2222,37502.3,22219.8
mistral_7b,32,8,128,2048,4,0.0796,0.4824,0.0931,0.855,33554432,9437184,8388608.0,2359296.0,134217728,4.0,14.2222,50238.0,42973.3
mistral_7b,32,8,128,2048,8,0.1298,0.8872,0.1021,1.272,67108864,18874368,8388608.0,2359296.0,268435456,4.0,14.2222,61623.8,78362.2
mistral_7b,32,8,128,2048,16,0.225,1.6879,0.1901,1.183,134217728,37748736,8388608.0,2359296.0,536870912,4.0,14.2222,71111.1,84152.9
mistral_7b,32,8,128,2048,32,0.4269,3.268,0.3386,1.261,268435456,75497472,8388608.0,2359296.0,1073741824,4.0,14.2222,74960.6,94506.8
mistral_7b,32,8,128,4096,1,0.0512,0.3514,0.1517,0.338,16777216,4718592,16777216.0,4718592.0,67108864,4.0,14.2222,19535.1,6594.1
mistral_7b,32,8,128,4096,2,0.0713,0.463,0.1492,0.478,33554432,9437184,16777216.0,4718592.0,134217728,4.0,14.2222,28050.5,13403.0
mistral_7b,32,8,128,4096,4,0.1135,0.8542,0.1495,0.759,67108864,18874368,16777216.0,4718592.0,268435456,4.0,14.2222,35242.3,26759.3
mistral_7b,32,8,128,4096,8,0.2208,1.6529,0.1914,1.154,134217728,37748736,16777216.0,4718592.0,536870912,4.0,14.2222,36230.1,41801.6
mistral_7b,32,8,128,4096,16,0.4177,3.2082,0.3433,1.217,268435456,75497472,16777216.0,4718592.0,1073741824,4.0,14.2222,38303.2,46606.5
mistral_7b,32,8,128,4096,32,0.8162,6.3047,0.6424,1.271,536870912,150994944,16777216.0,4718592.0,2147483648,4.0,14.2222,39205.1,49815.4
mistral_7b,32,8,128,8192,1,0.076,0.465,0.2695,0.282,33554432,9437184,33554432.0,9437184.0,134217728,4.0,14.2222,13151.0,3711.1
mistral_7b,32,8,128,8192,2,0.1141,0.8502,0.2706,0.422,67108864,18874368,33554432.0,9437184.0,268435456,4.0,14.2222,17523.9,7389.6
mistral_7b,32,8,128,8192,4,0.1995,1.64,0.2986,0.668,134217728,37748736,33554432.0,9437184.0,536870912,4.0,14.2222,20052.1,13396.7
mistral_7b,32,8,128,8192,8,0.4192,3.2125,0.3466,1.21,268435456,75497472,33554432.0,9437184.0,1073741824,4.0,14.2222,19083.1,23082.0
mistral_7b,32,8,128,8192,16,0.8058,6.27,0.6443,1.251,536870912,150994944,33554432.0,9437184.0,2147483648,4.0,14.2222,19855.8,24835.0
mistral_7b,32,8,128,8192,32,1.6084,12.5097,1.2603,1.276,1073741824,301989888,33554432.0,9437184.0,4294967296,4.0,14.2222,19895.5,25390.6
mistral_7b,32,8,128,16384,1,0.1193,0.8648,0.5133,0.232,67108864,18874368,67108864.0,18874368.0,268435456,4.0,14.2222,8385.0,1948.2
mistral_7b,32,8,128,16384,2,0.1993,1.6504,0.5674,0.351,134217728,37748736,67108864.0,18874368.0,536870912,4.0,14.2222,10033.1,3524.6
mistral_7b,32,8,128,16384,4,0.3746,3.1915,0.572,0.655,268435456,75497472,67108864.0,18874368.0,1073741824,4.0,14.2222,10679.5,6993.4
mistral_7b,32,8,128,16384,8,0.8138,6.3026,0.6487,1.255,536870912,150994944,67108864.0,18874368.0,2147483648,4.0,14.2222,9830.4,12333.1
mistral_7b,32,8,128,16384,16,1.5896,12.3892,1.2533,1.268,1073741824,301989888,67108864.0,18874368.0,4294967296,4.0,14.2222,10065.5,12766.7
mistral_7b,32,8,128,16384,32,3.1772,24.9379,2.488,1.277,2147483648,603979776,67108864.0,18874368.0,8589934592,4.0,14.2222,10071.7,12861.8
