config,mode,T_kv,B,pipeline,latency_ms,tokens_per_sec
qwen25_05b,decode,2048,1,P0,0.0527,18984.0
qwen25_05b,decode,2048,1,P1,0.2775,3603.7
qwen25_05b,decode,2048,1,P3,0.0783,12763.6
qwen25_05b,decode,2048,1,P5,0.0727,13763.8
qwen25_05b,decode,2048,2,P0,0.0611,32747.2
qwen25_05b,decode,2048,2,P1,0.283,7067.9
qwen25_05b,decode,2048,2,P3,0.076,26332.4
qwen25_05b,decode,2048,2,P5,0.073,27399.5
qwen25_05b,decode,2048,4,P0,0.0686,58351.4
qwen25_05b,decode,2048,4,P1,0.2744,14575.5
qwen25_05b,decode,2048,4,P3,0.0754,53070.0
qwen25_05b,decode,2048,4,P5,0.0755,53008.2
qwen25_05b,decode,2048,8,P0,0.1172,68239.6
qwen25_05b,decode,2048,8,P1,0.3247,24640.5
qwen25_05b,decode,2048,8,P3,0.0791,101135.0
qwen25_05b,decode,2048,8,P5,0.0769,103996.0
qwen25_05b,decode,2048,16,P0,0.2083,76808.5
qwen25_05b,decode,2048,16,P1,0.4215,37956.9
qwen25_05b,decode,2048,16,P3,0.0844,189496.7
qwen25_05b,decode,2048,16,P5,0.0817,195723.4
qwen25_05b,decode,2048,32,P0,0.3915,81731.0
qwen25_05b,decode,2048,32,P1,0.6345,50433.8
qwen25_05b,decode,2048,32,P3,0.1313,243764.9
qwen25_05b,decode,2048,32,P5,0.1324,241666.3
qwen25_05b,decode,2048,64,P0,0.7367,86869.8
qwen25_05b,decode,2048,64,P1,1.1848,54016.1
qwen25_05b,decode,2048,64,P3,0.1903,336310.7
qwen25_05b,decode,2048,64,P5,0.1896,337602.6
qwen25_05b,decode,2048,128,P0,1.4195,90175.4
qwen25_05b,decode,2048,128,P1,2.2889,55921.8
qwen25_05b,decode,2048,128,P3,0.3334,383895.3
qwen25_05b,decode,2048,128,P5,0.3325,384961.9
qwen25_05b,decode,4096,1,P0,0.0549,18219.6
qwen25_05b,decode,4096,1,P1,0.2659,3761.0
qwen25_05b,decode,4096,1,P3,0.1147,8715.4
qwen25_05b,decode,4096,1,P5,0.1144,8738.5
qwen25_05b,decode,4096,2,P0,0.069,29004.8
