W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,decode_p95_ms,kv_bytes_per_token,kv_kept_mean,W_mean,k_far_mean,feasible
32,128,0.5042029139740586,0.95,4,2.0,8,24733.34765625,-5.543680272962058,4.796999040991068,4.796999040991068,8220672.0,223.0,90.83076923076922,2.1,True
32,128,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.790982697159052,4.790982697159052,6119424.0,166.0,32.0,2.1153846153846154,True
32,128,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.793036729097366,4.793036729097366,6119424.0,166.0,32.0,2.1153846153846154,True
32,256,0.5042029139740586,0.95,4,2.0,8,25047.1689453125,-4.345201020221347,4.804939031600952,4.804939031600952,10874880.0,295.0,166.64615384615382,2.1,True
32,256,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.802859388291836,4.802859388291836,6119424.0,166.0,32.0,2.1153846153846154,True
32,256,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.795328248292208,4.795328248292208,6119424.0,166.0,32.0,2.1153846153846154,True
32,512,0.5042029139740586,0.95,4,2.0,8,25251.7861328125,-3.563770752359352,4.787025041878223,4.787025041878223,13344768.0,362.0,314.3384615384615,2.1,True
32,512,0.5370788699586624,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.80003422126174,4.80003422126174,6119424.0,166.0,32.0,2.1153846153846154,True
32,512,0.5753450994108428,0.95,4,2.0,8,25077.3515625,-4.229934013955785,4.796277265995741,4.796277265995741,6119424.0,166.0,32.0,2.1153846153846154,True
64,128,0.5042029139740586,0.95,4,2.0,8,25193.8369140625,-3.7850780339395262,4.799188580363989,4.799188580363989,8699904.0,236.0,103.38461538461539,2.1,True
64,128,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.812035243958235,4.812035243958235,7299072.0,198.0,64.0,2.1153846153846154,True
64,128,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.805419128388166,4.805419128388166,7299072.0,198.0,64.0,2.1153846153846154,True
64,256,0.5042029139740586,0.95,4,2.0,8,25522.083984375,-2.5315069179783523,4.804530646651983,4.804530646651983,11501568.0,312.0,180.18461538461537,2.1,True
64,256,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.797295667231083,4.797295667231083,7299072.0,198.0,64.0,2.1153846153846154,True
64,256,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.797657486051321,4.797657486051321,7299072.0,198.0,64.0,2.1153846153846154,True
64,512,0.5042029139740586,0.95,4,2.0,8,25734.2900390625,-1.7210948691059176,4.781108815222979,4.781108815222979,13971456.0,379.0,329.8461538461538,2.1,True
64,512,0.5370788699586624,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.774569068104029,4.774569068104029,7299072.0,198.0,64.0,2.1153846153846154,True
64,512,0.5753450994108428,0.95,4,2.0,8,25332.833984375,-3.2542501049009194,4.779868293553591,4.779868293553591,7299072.0,198.0,64.0,2.1153846153846154,True
96,128,0.5042029139740586,0.95,4,2.0,8,24963.9482421875,-4.663019758369296,4.7848522663116455,4.7848522663116455,9179136.0,249.0,115.6923076923077,2.1153846153846154,True
96,128,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.785048309713602,4.785048309713602,8478720.0,230.0,96.0,2.1153846153846154,True
96,128,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.783741198480129,4.783741198480129,8478720.0,230.0,96.0,2.1153846153846154,True
96,256,0.5042029139740586,0.95,4,2.0,8,25294.353515625,-3.4012064939030293,4.778844770044088,4.778844770044088,11980800.0,325.0,193.47692307692307,2.1,True
96,256,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.78003453463316,4.78003453463316,8478720.0,230.0,96.0,2.1153846153846154,True
96,256,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.801489412784576,4.801489412784576,8478720.0,230.0,96.0,2.1153846153846154,True
96,512,0.5042029139740586,0.95,4,2.0,8,25523.5751953125,-2.5258120036040195,4.786493722349405,4.786493722349405,14598144.0,396.0,345.10769230769233,2.1,True
96,512,0.5370788699586624,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.799406509846449,4.799406509846449,8478720.0,230.0,96.0,2.1153846153846154,True
96,512,0.5753450994108428,0.95,4,2.0,8,25246.5419921875,-3.5837980543830383,4.802084062248468,4.802084062248468,8478720.0,230.0,96.0,2.1153846153846154,True
128,256,0.5042029139740586,0.95,4,2.0,8,25365.0693359375,-3.1311437338581163,4.79612173512578,4.79612173512578,12460032.0,338.0,206.76923076923077,2.1,True
128,256,0.5370788699586624,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.795328713953495,4.795328713953495,9658368.0,262.0,128.0,2.1153846153846154,True
128,256,0.5753450994108428,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.795003216713667,4.795003216713667,9658368.0,262.0,128.0,2.1153846153846154,True
128,512,0.5042029139740586,0.95,4,2.0,8,25568.1728515625,-2.3554941583865707,4.775783512741327,4.775783512741327,15077376.0,409.0,360.36923076923074,2.1,True
128,512,0.5370788699586624,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.798911977559328,4.798911977559328,9658368.0,262.0,128.0,2.1153846153846154,True
128,512,0.5753450994108428,0.95,4,2.0,8,25034.2412109375,-4.394571862714747,4.800971131771803,4.800971131771803,9658368.0,262.0,128.0,2.1153846153846154,True
