W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,decode_p95_ms,kv_bytes_per_token,kv_kept_mean,W_mean,k_far_mean,feasible
32,128,0.5042028888637613,0.95,4,2.0,8,26444.8291015625,8.055462514962644,5.150802433490753,5.150802433490753,6598656.0,179.0,48.49230769230769,2.0615384615384613,False
32,128,0.5370788853748341,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.156238097697496,5.156238097697496,6045696.0,164.0,32.0,2.0615384615384613,False
32,128,0.5753451427983347,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.154716782271862,5.154716782271862,6045696.0,164.0,32.0,2.0615384615384613,False
32,256,0.5042028888637613,0.95,4,2.0,8,26313.203125,7.5176293634674725,5.154955200850964,5.154955200850964,7335936.0,199.0,69.16923076923078,2.0615384615384613,False
32,256,0.5370788853748341,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.157298408448696,5.157298408448696,6045696.0,164.0,32.0,2.0615384615384613,False
32,256,0.5753451427983347,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.1581040024757385,5.1581040024757385,6045696.0,164.0,32.0,2.0615384615384613,False
32,512,0.5042028888637613,0.95,4,2.0,8,26230.2216796875,7.178561244745069,5.159846041351557,5.159846041351557,8515584.0,231.0,108.55384615384615,2.0615384615384613,False
32,512,0.5370788853748341,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.164293572306633,5.164293572306633,6045696.0,164.0,32.0,2.0615384615384613,False
32,512,0.5753451427983347,0.95,4,2.0,8,26536.75390625,8.431073839541728,5.151679273694754,5.151679273694754,6045696.0,164.0,32.0,2.0615384615384613,False
64,128,0.5042028888637613,0.95,4,2.0,8,26220.552734375,7.139053242868348,5.157197825610638,5.157197825610638,7593984.0,206.0,75.32307692307693,2.0615384615384613,False
64,128,0.5370788853748341,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.159652326256037,5.159652326256037,7225344.0,196.0,64.0,2.0615384615384613,False
64,128,0.5753451427983347,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.161147564649582,5.161147564649582,7225344.0,196.0,64.0,2.0615384615384613,False
64,256,0.5042028888637613,0.95,4,2.0,8,26086.947265625,6.593131744761309,5.16416085883975,5.16416085883975,8331264.0,226.0,96.98461538461538,2.0615384615384613,False
64,256,0.5370788853748341,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.158834159374237,5.158834159374237,7225344.0,196.0,64.0,2.0615384615384613,False
64,256,0.5753451427983347,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.146665032953024,5.146665032953024,7225344.0,196.0,64.0,2.0615384615384613,False
64,512,0.5042028888637613,0.95,4,2.0,8,26027.4990234375,6.350221976632301,5.156176630407572,5.156176630407572,9805824.0,266.0,138.33846153846156,2.0615384615384613,False
64,512,0.5370788853748341,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.1570977084338665,5.1570977084338665,7225344.0,196.0,64.0,2.0615384615384613,False
64,512,0.5753451427983347,0.95,4,2.0,8,25816.4755859375,5.487965122825952,5.157886538654566,5.157886538654566,7225344.0,196.0,64.0,2.0615384615384613,False
96,128,0.5042028888637613,0.95,4,2.0,8,26348.3125,7.66108878003871,5.151858553290367,5.151858553290367,8515584.0,231.0,101.66153846153847,2.0307692307692307,False
96,128,0.5370788853748341,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.1552364602684975,5.1552364602684975,8331264.0,226.0,96.0,2.0307692307692307,False
96,128,0.5753451427983347,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.157758016139269,5.157758016139269,8331264.0,226.0,96.0,2.0307692307692307,False
96,256,0.5042028888637613,0.95,4,2.0,8,26206.9677734375,7.083544121152658,5.173513665795326,5.173513665795326,9252864.0,251.0,123.81538461538462,2.0307692307692307,False
96,256,0.5370788853748341,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.156748928129673,5.156748928129673,8331264.0,226.0,96.0,2.0307692307692307,False
96,256,0.5753451427983347,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.154265556484461,5.154265556484461,8331264.0,226.0,96.0,2.0307692307692307,False
96,512,0.5042028888637613,0.95,4,2.0,8,26141.013671875,6.8140509464482815,5.151003133505583,5.151003133505583,10727424.0,291.0,166.15384615384616,2.0307692307692307,False
96,512,0.5370788853748341,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.14698913320899,5.14698913320899,8331264.0,226.0,96.0,2.0307692307692307,False
96,512,0.5753451427983347,0.95,4,2.0,8,26113.5771484375,6.701943349970508,5.1440284587442875,5.1440284587442875,8331264.0,226.0,96.0,2.0307692307692307,False
128,256,0.5042028888637613,0.95,4,2.0,8,26589.7080078125,8.647448084745761,5.15500595793128,5.15500595793128,10321920.0,280.0,150.64615384615385,2.0615384615384613,False
128,256,0.5370788853748341,0.95,4,2.0,8,26736.5576171875,9.247486088402955,5.156330764293671,5.156330764293671,9584640.0,260.0,128.0,2.0615384615384613,False
128,256,0.5753451427983347,0.95,4,2.0,8,26736.5576171875,9.247486088402955,5.1525793969631195,5.1525793969631195,9584640.0,260.0,128.0,2.0615384615384613,False
128,512,0.5042028888637613,0.95,4,2.0,8,26517.001953125,8.350365946807809,5.153265781700611,5.153265781700611,11796480.0,320.0,193.96923076923076,2.0615384615384613,False
128,512,0.5370788853748341,0.95,4,2.0,8,26736.5576171875,9.247486088402955,5.1445309072732925,5.1445309072732925,9584640.0,260.0,128.0,2.0615384615384613,False
128,512,0.5753451427983347,0.95,4,2.0,8,26736.5576171875,9.247486088402955,5.153506528586149,5.153506528586149,9584640.0,260.0,128.0,2.0615384615384613,False
